record_id,split,stance_code,stance_category,annotator_1_labels,annotator_2_labels,adjudicated_gold_labels
ATTR-DEV-0018,dev,3,Delayed vaccination,"[""A2a""]","[""A1a""]","[""A1a""]"
ATTR-DEV-0019,dev,3,Delayed vaccination,"[""C1b""]","[""C1b""]","[""C1b""]"
ATTR-DEV-0020,dev,3,Delayed vaccination,"[""A2a""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0021,dev,3,Delayed vaccination,"[""A3a"",""B6a""]","[""A2a"",""A3a""]","[""A3a"",""B6a""]"
ATTR-DEV-0022,dev,3,Delayed vaccination,"[""A1c"",""A2d""]","[""A2a"",""A2d""]","[""A2a"",""A2d""]"
ATTR-DEV-0023,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0024,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0025,dev,3,Delayed vaccination,"[""B1b"",""B4a""]","[""B1b"",""B4a""]","[""B1b"",""B4a""]"
ATTR-DEV-0026,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0027,dev,3,Delayed vaccination,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0028,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0029,dev,3,Delayed vaccination,"[""A2a"",""B5a""]","[""A1c"",""B5a""]","[""A1c"",""B5a""]"
ATTR-DEV-0030,dev,3,Delayed vaccination,"[""A2c"",""C3a"",""C4d""]","[""A2c"",""C3a"",""C4d""]","[""A2c"",""C3a"",""C4d""]"
ATTR-DEV-0031,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A2a""]"
ATTR-DEV-0032,dev,3,Delayed vaccination,"[""A2a""]","[""A3e""]","[""A3e""]"
ATTR-DEV-0033,dev,3,Delayed vaccination,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0034,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0035,dev,3,Delayed vaccination,"[""C1c"",""C1d""]","[""A2a"",""C1d""]","[""C1c"",""C1d""]"
ATTR-DEV-0036,dev,3,Delayed vaccination,"[""A2a"",""C1b""]","[""C1b"",""C1c""]","[""C1b"",""C1c""]"
ATTR-DEV-0037,dev,3,Delayed vaccination,"[""A2a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0038,dev,3,Delayed vaccination,"[""A1c"",""C4a""]","[""B6a"",""C4a""]","[""B6a"",""C4a""]"
ATTR-DEV-0039,dev,3,Delayed vaccination,"[""A2a""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0040,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0041,dev,3,Delayed vaccination,"[""C1c""]","[""C1d"",""C3f""]","[""C1c""]"
ATTR-DEV-0042,dev,3,Delayed vaccination,"[""A1a"",""B6a""]","[""A1a"",""B6a""]","[""A1a"",""B6a""]"
ATTR-DEV-0043,dev,3,Delayed vaccination,"[""A1c""]","[""D0""]","[""D0""]"
ATTR-DEV-0044,dev,3,Delayed vaccination,"[""A2a"",""C3d""]","[""A2a"",""C3d""]","[""A2a"",""C3d""]"
ATTR-DEV-0045,dev,3,Delayed vaccination,"[""A2a"",""B6a""]","[""A1c"",""B6a""]","[""A1c"",""B6a""]"
ATTR-DEV-0046,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0047,dev,3,Delayed vaccination,"[""C1d""]","[""C1d""]","[""C1d""]"
ATTR-DEV-0048,dev,3,Delayed vaccination,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0049,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0050,dev,3,Delayed vaccination,"[""A1c""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0051,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0052,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0053,dev,3,Delayed vaccination,"[""A1a"",""B3a"",""B6a""]","[""A1a"",""B3a"",""B6a""]","[""A1a"",""B3a"",""B6a""]"
ATTR-DEV-0054,dev,3,Delayed vaccination,"[""B1a"",""B6a""]","[""B5a"",""B1c""]","[""B5b""]"
ATTR-DEV-0055,dev,3,Delayed vaccination,"[""A1c"",""C4b""]","[""B6a"",""C4b""]","[""B6a"",""C4b""]"
ATTR-DEV-0056,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0057,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0058,dev,3,Delayed vaccination,"[""B5b""]","[""B5b""]","[""B5b""]"
ATTR-DEV-0059,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0060,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0061,dev,3,Delayed vaccination,"[""B4a""]","[""A1c""]","[""B4a""]"
ATTR-DEV-0062,dev,3,Delayed vaccination,"[""A1a"",""A1c""]","[""A1a"",""B6a""]","[""A1a"",""B6a""]"
ATTR-DEV-0063,dev,3,Delayed vaccination,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0064,dev,3,Delayed vaccination,"[""A1a"",""B6a""]","[""A1a"",""B6a""]","[""A1a"",""B6a""]"
ATTR-DEV-0065,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0066,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0067,dev,3,Delayed vaccination,"[""C4a""]","[""C4a""]","[""C4a""]"
ATTR-DEV-0068,dev,3,Delayed vaccination,"[""C1d""]","[""A1c""]","[""C1d""]"
ATTR-DEV-0069,dev,3,Delayed vaccination,"[""A3d""]","[""A2a""]","[""A3d""]"
ATTR-DEV-0070,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0071,dev,3,Delayed vaccination,"[""A2a"",""A2b"",""A2c""]","[""A2d""]","[""A2a""]"
ATTR-DEV-0072,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0073,dev,3,Delayed vaccination,"[""A2c"",""B1c"",""B7a""]","[""A2c"",""B1c"",""B7a""]","[""A2c"",""B1c"",""B7a""]"
ATTR-DEV-0074,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0075,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0076,dev,3,Delayed vaccination,"[""A2a"",""B2b""]","[""A2a"",""B2b""]","[""A2a"",""B2b""]"
ATTR-DEV-0077,dev,3,Delayed vaccination,"[""A3d"",""B4a""]","[""A3d"",""B4a""]","[""A3d"",""B4a""]"
ATTR-DEV-0078,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0079,dev,3,Delayed vaccination,"[""A2a"",""C2a""]","[""A2a"",""C2a""]","[""A2a"",""C2a""]"
ATTR-DEV-0080,dev,3,Delayed vaccination,"[""B4a"",""B6a""]","[""B4a"",""B6a""]","[""B4a"",""B6a""]"
ATTR-DEV-0081,dev,3,Delayed vaccination,"[""A2a"",""B6a""]","[""A1c"",""B6a""]","[""A1c"",""B6a""]"
ATTR-DEV-0082,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0083,dev,3,Delayed vaccination,"[""C1a""]","[""C1c"",""C1d""]","[""C1c""]"
ATTR-DEV-0084,dev,3,Delayed vaccination,"[""A1b"",""A1a""]","[""A1c"",""A1d""]","[""A1b""]"
ATTR-DEV-0085,dev,3,Delayed vaccination,"[""A2a"",""B6a""]","[""A1c"",""B6a""]","[""A2a"",""B6a""]"
ATTR-DEV-0086,dev,3,Delayed vaccination,"[""A1a"",""B6a""]","[""A1a"",""A2a""]","[""A1a"",""B6a""]"
ATTR-DEV-0087,dev,3,Delayed vaccination,"[""A2a"",""A2e"",""A2b""]","[""A2a"",""A2c""]","[""A2a""]"
ATTR-DEV-0088,dev,3,Delayed vaccination,"[""A1c"",""C3a"",""C4b""]","[""A1c"",""C3a"",""C4b""]","[""A1c"",""C3a"",""C4b""]"
ATTR-DEV-0089,dev,3,Delayed vaccination,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0090,dev,3,Delayed vaccination,"[""C1d""]","[""C1d""]","[""C1d""]"
ATTR-DEV-0091,dev,3,Delayed vaccination,"[""A1c"",""A2b"",""B6a""]","[""A1c"",""A2a"",""A2b""]","[""A1c"",""A2a"",""A2b""]"
ATTR-DEV-0092,dev,3,Delayed vaccination,"[""A2a""]","[""B7a""]","[""B7a""]"
ATTR-DEV-0093,dev,3,Delayed vaccination,"[""A1c""]","[""B7a""]","[""B7a""]"
ATTR-DEV-0094,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0095,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0096,dev,3,Delayed vaccination,"[""A1a"",""A1c"",""C4a""]","[""A1a"",""B6a"",""C4a""]","[""A1a"",""B6a"",""C4a""]"
ATTR-DEV-0097,dev,3,Delayed vaccination,"[""A2a"",""A2c"",""B4a""]","[""A2c"",""B4a"",""B6a""]","[""A2c"",""B4a"",""B6a""]"
ATTR-DEV-0098,dev,3,Delayed vaccination,"[""A1a"",""A3a"",""B6a""]","[""A1a"",""A1c"",""A3a""]","[""A1a"",""A3a"",""B6a""]"
ATTR-DEV-0099,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0100,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0101,dev,3,Delayed vaccination,"[""A1b"",""A1c"",""A2a""]","[""A1b"",""C2a"",""C3a""]","[""A1b"",""C2a"",""C3a""]"
ATTR-DEV-0102,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0103,dev,3,Delayed vaccination,"[""A1a"",""B6a""]","[""A1a"",""B6a""]","[""A1a"",""B6a""]"
ATTR-DEV-0104,dev,3,Delayed vaccination,"[""A1a"",""A3c"",""B3b""]","[""A1a"",""A3c"",""B3b""]","[""A1a"",""A3c"",""B3b""]"
ATTR-DEV-0105,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0106,dev,3,Delayed vaccination,"[""A3d"",""C1d""]","[""C1d""]","[""A3d"",""C1d""]"
ATTR-DEV-0107,dev,3,Delayed vaccination,"[""A3d"",""C1c""]","[""A3d"",""C1c""]","[""A3d"",""C1c""]"
ATTR-DEV-0108,dev,3,Delayed vaccination,"[""A1c"",""C3a"",""C3f""]","[""A2a"",""C3a"",""C3f""]","[""A1c"",""C3a"",""C3f""]"
ATTR-DEV-0109,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0110,dev,3,Delayed vaccination,"[""B1c"",""B4a""]","[""B1c"",""B4a""]","[""B1c"",""B4a""]"
ATTR-DEV-0111,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0112,dev,3,Delayed vaccination,"[""A2d""]","[""A2d""]","[""A2d""]"
ATTR-DEV-0113,dev,3,Delayed vaccination,"[""A2a"",""B2b""]","[""A2a"",""B2b""]","[""A2a"",""B2b""]"
ATTR-DEV-0114,dev,3,Delayed vaccination,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0115,dev,3,Delayed vaccination,"[""A1a"",""B6a""]","[""A1a"",""B6a""]","[""A1a"",""B6a""]"
ATTR-DEV-0116,dev,3,Delayed vaccination,"[""B7a""]","[""B7a""]","[""B7a""]"
ATTR-DEV-0117,dev,3,Delayed vaccination,"[""A1a""]","[""A1c""]","[""A1a""]"
ATTR-DEV-0118,dev,3,Delayed vaccination,"[""A1a"",""B6a"",""C4b""]","[""A1a"",""B6a"",""C4b""]","[""A1a"",""B6a"",""C4b""]"
ATTR-DEV-0119,dev,3,Delayed vaccination,"[""B7a""]","[""B7a""]","[""B7a""]"
ATTR-DEV-0120,dev,3,Delayed vaccination,"[""B6a"",""C4a""]","[""C4b"",""C4c""]","[""B6a""]"
ATTR-DEV-0121,dev,3,Delayed vaccination,"[""C1b""]","[""A2a""]","[""C1b""]"
ATTR-DEV-0122,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0123,dev,3,Delayed vaccination,"[""D0""]","[""D0""]","[""D0""]"
ATTR-DEV-0124,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0125,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0126,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0127,dev,4,Vaccine refusal,"[""C4c""]","[""A1c""]","[""C4c""]"
ATTR-DEV-0128,dev,4,Vaccine refusal,"[""B7a""]","[""B7a""]","[""B7a""]"
ATTR-DEV-0129,dev,4,Vaccine refusal,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0130,dev,4,Vaccine refusal,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0131,dev,4,Vaccine refusal,"[""A2c""]","[""A2c""]","[""A2c""]"
ATTR-DEV-0132,dev,4,Vaccine refusal,"[""A1a"",""C3a""]","[""A1a"",""C3a""]","[""A1a"",""C3a""]"
ATTR-DEV-0133,dev,4,Vaccine refusal,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0134,dev,4,Vaccine refusal,"[""C4a"",""C4d""]","[""C4a""]","[""C4d""]"
ATTR-DEV-0135,dev,4,Vaccine refusal,"[""A1a"",""A1b"",""C3c""]","[""A1b"",""A1c"",""C3c""]","[""A1a"",""A1b"",""C3c""]"
ATTR-DEV-0136,dev,4,Vaccine refusal,"[""A1b"",""A2a"",""C4c""]","[""A1b"",""A2a"",""C4c""]","[""A1b"",""A2a"",""C4c""]"
ATTR-DEV-0137,dev,4,Vaccine refusal,"[""B5b""]","[""C3b"",""C3e""]","[""B5b""]"
ATTR-DEV-0138,dev,4,Vaccine refusal,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0139,dev,4,Vaccine refusal,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0140,dev,4,Vaccine refusal,"[""A2a"",""B2d"",""C2a""]","[""A1c"",""B2d"",""C2a""]","[""A2a"",""B2d"",""C2a""]"
ATTR-DEV-0141,dev,4,Vaccine refusal,"[""A3b""]","[""A3b""]","[""A3b""]"
ATTR-DEV-0142,dev,4,Vaccine refusal,"[""B1c"",""B7a""]","[""A1c"",""B1c""]","[""B1c"",""B7a""]"
ATTR-DEV-0143,dev,4,Vaccine refusal,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0144,dev,4,Vaccine refusal,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0145,dev,4,Vaccine refusal,"[""A2a"",""C4d""]","[""C4b"",""C4d""]","[""C4b"",""C4d""]"
ATTR-DEV-0146,dev,4,Vaccine refusal,"[""B4a""]","[""B4a""]","[""B4a""]"
ATTR-DEV-0147,dev,4,Vaccine refusal,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0148,dev,4,Vaccine refusal,"[""A1b"",""A2a"",""C4c""]","[""A1b"",""A2a"",""C4c""]","[""A1b"",""A2a"",""C4c""]"
ATTR-DEV-0149,dev,4,Vaccine refusal,"[""A1c"",""A3a""]","[""A1c"",""A3a""]","[""A1c"",""A3a""]"
ATTR-DEV-0150,dev,4,Vaccine refusal,"[""A1c"",""C3c"",""C3d""]","[""A1c"",""C3c"",""C3d""]","[""A1c"",""C3c"",""C3d""]"
ATTR-DEV-0151,dev,4,Vaccine refusal,"[""B1b"",""B2a"",""B2b""]","[""B1b"",""B2a"",""B2b""]","[""B1b"",""B2a"",""B2b""]"
ATTR-DEV-0152,dev,4,Vaccine refusal,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0153,dev,4,Vaccine refusal,"[""A2a"",""B1c"",""C4d""]","[""A2a"",""B1c"",""C4d""]","[""A2a"",""B1c"",""C4d""]"
ATTR-DEV-0154,dev,4,Vaccine refusal,"[""B5a"",""C3a"",""C3f""]","[""A1c"",""C3a"",""C3f""]","[""B5a"",""C3a"",""C3f""]"
ATTR-DEV-0155,dev,4,Vaccine refusal,"[""A1a""]","[""A1c""]","[""A1a""]"
ATTR-DEV-0156,dev,4,Vaccine refusal,"[""A2a"",""A2d""]","[""A2e""]","[""A2a""]"
ATTR-DEV-0157,dev,4,Vaccine refusal,"[""B1b""]","[""B1b""]","[""B1b""]"
ATTR-DEV-0158,dev,4,Vaccine refusal,"[""A1a"",""A1c"",""C3a""]","[""A1a"",""A1c"",""C3a""]","[""A1a"",""A1c"",""C3a""]"
ATTR-DEV-0159,dev,4,Vaccine refusal,"[""A1b""]","[""A2a""]","[""A1b""]"
ATTR-DEV-0160,dev,4,Vaccine refusal,"[""B5a""]","[""B5a""]","[""B5a""]"
ATTR-DEV-0161,dev,4,Vaccine refusal,"[""A1c"",""A2a""]","[""A1c"",""A2a""]","[""A1c"",""A2a""]"
ATTR-DEV-0162,dev,4,Vaccine refusal,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0163,dev,4,Vaccine refusal,"[""A2a""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0164,dev,4,Vaccine refusal,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0165,dev,4,Vaccine refusal,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0166,dev,4,Vaccine refusal,"[""B4a""]","[""A1c""]","[""B4a""]"
ATTR-DEV-0167,dev,4,Vaccine refusal,"[""A1c""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0168,dev,4,Vaccine refusal,"[""B5b""]","[""B5b""]","[""B5b""]"
ATTR-DEV-0169,dev,4,Vaccine refusal,"[""A1c""]","[""C3b""]","[""A1c"",""C3b""]"
ATTR-DEV-0170,dev,4,Vaccine refusal,"[""B1b"",""B2c""]","[""B1b"",""B2c""]","[""B1b"",""B2c""]"
ATTR-DEV-0171,dev,4,Vaccine refusal,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0172,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0173,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0174,dev,3,Delayed vaccination,"[""A3d"",""B6a""]","[""A1c"",""A2a""]","[""A1c"",""A2a""]"
ATTR-DEV-0175,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0176,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0177,dev,3,Delayed vaccination,"[""A1c""]","[""A1c"",""A2e"",""A3e""]","[""A1c""]"
ATTR-DEV-0178,dev,3,Delayed vaccination,"[""C2a""]","[""C2a""]","[""C2a""]"
ATTR-DEV-0179,dev,3,Delayed vaccination,"[""C3a"",""C3f""]","[""C3a"",""C3f""]","[""C3a"",""C3f""]"
ATTR-DEV-0180,dev,3,Delayed vaccination,"[""A1b"",""B6a""]","[""A1b"",""B6a""]","[""A1b"",""B6a""]"
ATTR-DEV-0181,dev,3,Delayed vaccination,"[""A2a"",""A2d""]","[""A2a""]","[""A2d""]"
ATTR-DEV-0182,dev,3,Delayed vaccination,"[""C1d""]","[""C1d""]","[""C1d""]"
ATTR-DEV-0183,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A2a""]"
ATTR-DEV-0184,dev,3,Delayed vaccination,"[""A1c"",""A2a""]","[""B6a"",""C1c""]","[""B6a"",""C1c""]"
ATTR-DEV-0185,dev,3,Delayed vaccination,"[""A1c""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0186,dev,3,Delayed vaccination,"[""A1c""]","[""B5b""]","[""B5b""]"
ATTR-DEV-0187,dev,3,Delayed vaccination,"[""A3d""]","[""A2a""]","[""A3d""]"
ATTR-DEV-0188,dev,3,Delayed vaccination,"[""B2d"",""C1b""]","[""A1c"",""B2d""]","[""B2d"",""C1b""]"
ATTR-DEV-0189,dev,3,Delayed vaccination,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0190,dev,3,Delayed vaccination,"[""B1a"",""B1b""]","[""B1a"",""B1b""]","[""B1a"",""B1b""]"
ATTR-DEV-0191,dev,3,Delayed vaccination,"[""C1b"",""C1d""]","[""C1b"",""C1d""]","[""C1b"",""C1d""]"
ATTR-DEV-0192,dev,3,Delayed vaccination,"[""B6a""]","[""A2a""]","[""B6a""]"
ATTR-DEV-0193,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0194,dev,3,Delayed vaccination,"[""C1b""]","[""A1c""]","[""C1b""]"
ATTR-DEV-0195,dev,3,Delayed vaccination,"[""C1c""]","[""C1c""]","[""C1c""]"
ATTR-DEV-0196,dev,3,Delayed vaccination,"[""A2a""]","[""C1b""]","[""C1b""]"
ATTR-DEV-0197,dev,3,Delayed vaccination,"[""B2b""]","[""B2b""]","[""B2b""]"
ATTR-DEV-0198,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0199,dev,3,Delayed vaccination,"[""B3b""]","[""A2a""]","[""B3b""]"
ATTR-DEV-0200,dev,3,Delayed vaccination,"[""B6a"",""C1b""]","[""B6a"",""C1b""]","[""B6a"",""C1b""]"
ATTR-DEV-0201,dev,3,Delayed vaccination,"[""B7a"",""C1c""]","[""A1c"",""B7a""]","[""B7a"",""C1c""]"
ATTR-DEV-0202,dev,3,Delayed vaccination,"[""A1a""]","[""A2a""]","[""A1a""]"
ATTR-DEV-0203,dev,3,Delayed vaccination,"[""A3a""]","[""A3a""]","[""A3a""]"
ATTR-DEV-0204,dev,3,Delayed vaccination,"[""A3b""]","[""A3b"",""A3d""]","[""A3d""]"
ATTR-DEV-0205,dev,3,Delayed vaccination,"[""B1c""]","[""B1c""]","[""B1c""]"
ATTR-DEV-0206,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0207,dev,3,Delayed vaccination,"[""A1c"",""A3b""]","[""A3b"",""C3c""]","[""A3b"",""C3c""]"
ATTR-DEV-0208,dev,3,Delayed vaccination,"[""A2a""]","[""C1c""]","[""C1c""]"
ATTR-DEV-0209,dev,3,Delayed vaccination,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0210,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0211,dev,3,Delayed vaccination,"[""D0""]","[""D0""]","[""D0""]"
ATTR-DEV-0212,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0213,dev,3,Delayed vaccination,"[""A1c"",""C1b""]","[""C1b"",""C1c""]","[""C1b"",""C1c""]"
ATTR-DEV-0214,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0215,dev,3,Delayed vaccination,"[""A1a"",""A2a"",""B5a""]","[""A1a"",""A1c"",""B5a""]","[""A1a"",""A2a"",""B5a""]"
ATTR-DEV-0216,dev,3,Delayed vaccination,"[""A2a""]","[""B4a""]","[""B4a""]"
ATTR-DEV-0217,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0218,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0219,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0220,dev,3,Delayed vaccination,"[""B1a"",""B2b""]","[""B1a"",""B2b""]","[""B1a"",""B2b""]"
ATTR-DEV-0221,dev,3,Delayed vaccination,"[""B3a"",""B6a""]","[""A1c"",""B3a""]","[""B3a"",""B6a""]"
ATTR-DEV-0222,dev,3,Delayed vaccination,"[""A2a""]","[""A2a""]","[""A2a""]"
ATTR-DEV-0223,dev,3,Delayed vaccination,"[""A3e""]","[""A3d"",""A3c""]","[""A3d""]"
ATTR-DEV-0224,dev,3,Delayed vaccination,"[""A1a""]","[""A1a""]","[""A1a""]"
ATTR-DEV-0225,dev,3,Delayed vaccination,"[""A1c""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0226,dev,3,Delayed vaccination,"[""A1a""]","[""A1c""]","[""A1a""]"
ATTR-DEV-0227,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0228,dev,3,Delayed vaccination,"[""A2b""]","[""A2a"",""A2e""]","[""A2a""]"
ATTR-DEV-0229,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0230,dev,3,Delayed vaccination,"[""B1a"",""B3a"",""B6a""]","[""B1a"",""B3a"",""B6a""]","[""B1a"",""B3a"",""B6a""]"
ATTR-DEV-0231,dev,3,Delayed vaccination,"[""D0""]","[""A1c""]","[""D0""]"
ATTR-DEV-0232,dev,3,Delayed vaccination,"[""B7a""]","[""A2a""]","[""B7a""]"
